net.n 16
the 0 layer
b address: 0x77114008
state.workspace address: 0x78a19008
data_col address: 0x77114008
c[0] = -0.524952
c[1] = -0.544604
c[2] = -0.533580
c[3] = -0.517367
c[4] = -0.482659
c[5] = -0.428039
c[6] = -0.553782
c[7] = -0.582206
c[8] = -0.626144
c[9] = -0.666771
c[10] = -0.666271
c[11] = -0.641983
c[12] = -0.592280
c[13] = -0.588034
c[14] = -0.467784
c[15] = -0.572213
c[16] = -0.545321
c[17] = -0.463707
c[18] = -0.516914
c[19] = -0.508413
c[20] = -0.561858
c[21] = -0.546695
c[22] = -0.612526
c[23] = -0.520071
c[24] = -0.632018
c[25] = -0.537609
c[26] = -0.502331
c[27] = -0.553833
c[28] = -0.436169
c[29] = -0.498691
c[30] = -0.458110
c[31] = -0.413999
c[32] = -0.490263
c[33] = -0.487913
c[34] = -0.496725
c[35] = -0.647016
c[36] = -0.674122
c[37] = -0.566679
c[38] = -0.554357
c[39] = -0.666751
c[40] = -0.506656
c[41] = -0.521815
c[42] = -0.531862
c[43] = -0.456539
c[44] = -0.450332
c[45] = -0.452814
c[46] = -0.542634
c[47] = -0.528387
c[48] = -0.550891
c[49] = -0.536405
c[50] = -0.575086
c[51] = -0.576711
c[52] = -0.514235
c[53] = -0.496170
c[54] = -0.456939
c[55] = -0.493426
c[56] = -0.461890
c[57] = -0.467220
c[58] = -0.457052
c[59] = -0.443698
c[60] = -0.464624
c[61] = -0.589042
c[62] = -0.621723
c[63] = -0.503893
c[64] = -0.559322
c[65] = -0.649617
c[66] = -0.600252
c[67] = -0.563919
c[68] = -0.502332
c[69] = -0.505253
c[70] = -0.466468
c[71] = -0.391076
c[72] = -0.430505
c[73] = -0.484923
c[74] = -0.553071
c[75] = -0.493824
c[76] = -0.596558
c[77] = -0.533434
c[78] = -0.610439
c[79] = -0.444441
c[80] = -0.405543
c[81] = -0.475808
c[82] = -0.415525
c[83] = -0.468788
c[84] = -0.457778
c[85] = -0.427568
c[86] = -0.411752
c[87] = -0.553945
c[88] = -0.543511
c[89] = -0.472249
c[90] = -0.573149
c[91] = -0.633641
c[92] = -0.597710
c[93] = -0.564928
c[94] = -0.557958
c[95] = -0.489318
c[96] = -0.438764
c[97] = -0.474157
c[98] = -0.387247
c[99] = -0.447754
c[100] = -0.505788
c[101] = -0.512460
c[102] = -0.458166
c[103] = -0.606875
c[104] = -0.575966
c[105] = -0.465815
c[106] = -0.481132
c[107] = -0.436411
c[108] = -0.510310
c[109] = -0.423365
c[110] = -0.476516
c[111] = -0.470463
c[112] = -0.461415
c[113] = -0.507341
c[114] = -0.468379
c[115] = -0.489275
c[116] = -0.541168
c[117] = -0.605048
c[118] = -0.576519
c[119] = -0.580840
c[120] = -0.570385
c[121] = -0.580250
c[122] = -0.449946
c[123] = -0.425112
c[124] = -0.495158
c[125] = -0.399617
c[126] = -0.452382
c[127] = -0.547321
c[128] = -0.486397
c[129] = -0.494571
c[130] = -0.612374
c[131] = -0.463599
c[132] = -0.489381
c[133] = -0.506762
c[134] = -0.473698
c[135] = -0.508754
c[136] = -0.488003
c[137] = -0.499735
c[138] = -0.512002
c[139] = -0.488241
c[140] = -0.460242
c[141] = -0.510672
c[142] = -0.547054
c[143] = -0.579118
c[144] = -0.606424
c[145] = -0.580150
c[146] = -0.585188
c[147] = -0.613358
c[148] = -0.520903
c[149] = -0.438517
c[150] = -0.520227
c[151] = -0.490137
c[152] = -0.389548
c[153] = -0.509503
c[154] = -0.435868
