checkpoint 9.1
b[1254] = [0.000000]
b[1255] = [0.000000]
b[1256] = [0.000000]
b[1257] = [0.223529]
b[1258] = [0.227451]
b[1259] = [0.196078]
b[1260] = [0.234103]
b[1261] = [0.238025]
b[1262] = [0.206653]
b[1263] = [0.241947]
b[1264] = [0.245868]
b[1265] = [0.214496]
b[1266] = [0.232809]
b[1267] = [0.236730]
b[1268] = [0.205358]
b[1269] = [0.221989]
b[1270] = [0.225911]
b[1271] = [0.194538]
b[1272] = [0.225419]
b[1273] = [0.229341]
b[1274] = [0.197968]
b[1275] = [0.231023]
b[1276] = [0.234944]
b[1277] = [0.203572]
b[1278] = [0.223775]
b[1279] = [0.227697]
b[1280] = [0.196324]
b[1281] = [0.223529]
b[1282] = [0.227451]
b[1283] = [0.196078]
b[1284] = [0.229936]
b[1285] = [0.233858]
b[1286] = [0.202485]
b[1287] = [0.237326]
b[1288] = [0.241247]
b[1289] = [0.209875]
b[1290] = [0.230078]
b[1291] = [0.234000]
b[1292] = [0.202627]
b[1293] = [0.232072]
b[1294] = [0.235993]
b[1295] = [0.204621]
b[1296] = [0.235502]
b[1297] = [0.243345]
b[1298] = [0.200208]
b[1299] = [0.246567]
b[1300] = [0.254411]
b[1301] = [0.211273]
b[1302] = [0.239216]
b[1303] = [0.247059]
b[1304] = [0.203922]
b[1305] = [0.245377]
b[1306] = [0.253220]
b[1307] = [0.210083]
b[1308] = [0.245793]
b[1309] = [0.253636]
b[1310] = [0.210498]
b[1311] = [0.209667]
b[1312] = [0.233196]
b[1313] = [0.186137]
b[1314] = [0.259145]
b[1315] = [0.255970]
b[1316] = [0.224597]
b[1317] = [0.476541]
b[1318] = [0.452870]
b[1319] = [0.368580]
b[1320] = [0.628396]
b[1321] = [0.680586]
b[1322] = [0.439688]
b[1323] = [0.653645]
b[1324] = [0.674283]
b[1325] = [0.462745]
b[1326] = [0.511732]
b[1327] = [0.596012]
b[1328] = [0.307678]
b[1329] = [0.527767]
b[1330] = [0.545429]
b[1331] = [0.279310]
b[1332] = [0.504182]
b[1333] = [0.525490]
b[1334] = [0.276022]
b[1335] = [0.505259]
b[1336] = [0.493910]
b[1337] = [0.285235]
b[1338] = [0.607210]
